Data,Fit
0.0000,-0.183056,1.545392
0.0000,0.195687,1.545392
0.0000,0.058168,1.545392
0.0000,0.027471,1.545392
0.0000,-0.146186,1.545392
0.0000,0.265498,1.545392
0.0000,0.281182,1.545392
0.0000,0.093579,1.545392
0.0000,-0.115960,1.545392
0.0000,-0.014302,1.545392
0.0000,0.091829,1.545392
0.0000,-0.090288,1.545392
0.0000,-0.057490,1.545392
0.0000,-0.069676,1.545392
0.0000,0.233084,1.545392
0.0000,-0.192246,1.545392
0.0000,-0.037597,1.545392
0.0000,0.149829,1.545392
0.0000,-0.064310,1.545392
0.0000,0.399837,1.545392
0.0000,0.019486,1.545392
0.0000,0.048892,1.545392
0.0000,0.321497,1.545392
0.0000,0.049721,1.545392
0.0000,0.247647,1.545392
0.0000,-0.004083,1.545392
0.0000,-0.165328,1.545392
0.0000,0.127474,1.545392
0.0000,0.035699,1.545392
0.0000,-0.246311,1.545392
0.0000,0.163472,1.545392
0.0000,0.132029,1.545392
0.0000,-0.417782,1.545392
0.0000,-0.242637,1.545392
0.0000,-0.069813,1.545392
0.0000,-0.065687,1.545392
0.0000,-0.139096,1.545392
0.0000,-0.071339,1.545392
0.0000,0.031722,1.545392
0.0000,-0.256125,1.545392
0.0000,-0.201148,1.545392
0.0000,-0.141301,1.545392
0.0000,0.053205,1.545392
0.0000,-0.126424,1.545392
0.0000,0.093061,1.545392
0.0000,-0.053577,1.545392
0.0000,0.338222,1.545392
0.0000,-0.070478,1.545392
0.0000,-0.033165,1.545392
0.0000,0.206198,1.545392
0.0000,-0.348657,1.545392
0.0000,-0.424562,1.545392
0.0000,0.050938,1.545392
0.0000,-0.209259,1.545392
0.0000,0.055155,1.545392
0.0000,-0.276111,1.545392
0.0000,0.114641,1.545392
0.0000,0.015990,1.545392
0.0000,0.032018,1.545392
0.0000,-0.231757,1.545392
0.0000,-0.163561,1.545392
0.0000,-0.184253,1.545392
0.0000,-0.170110,1.545392
0.0000,-0.243480,1.545392
0.0000,-0.081290,1.545392
0.0000,-0.018926,1.545392
0.0000,-0.031204,1.545392
0.0000,0.525872,1.545392
0.0000,0.178045,1.545392
0.0000,-0.534943,1.545392
0.0000,0.033032,1.545392
0.0000,-0.087440,1.545392
0.0000,-0.080170,1.545392
0.0000,-0.303793,1.545392
0.0000,0.290952,1.545392
0.0000,0.010778,1.545392
0.0000,-0.350556,1.545392
0.0000,0.048844,1.545392
0.0000,0.083394,1.545392
0.0000,0.319564,1.545392
0.0000,0.202547,1.545392
0.0000,0.109854,1.545392
0.0000,0.354993,1.545392
0.0000,0.043073,1.545392
0.0000,-0.145499,1.545392
0.0000,0.049458,1.545392
0.0000,0.187117,1.545392
0.0000,-0.081569,1.545392
0.0000,-0.022114,1.545392
0.0000,-0.164103,1.545392
0.0000,-0.597044,1.545392
0.0000,-0.195434,1.545392
0.0000,-0.247686,1.545392
0.0000,0.005505,1.545392
0.0000,0.103582,1.545392
0.0000,0.060296,1.545392
0.0000,0.077866,1.545392
0.0000,0.063318,1.545392
0.0000,0.199864,1.545392
0.0000,-0.114680,1.545392
0.0000,-0.033416,1.545392
0.0000,0.180381,1.545392
0.0000,0.160038,1.545392
0.0000,-0.271554,1.545392
0.0000,0.456507,1.545392
0.0000,0.148992,1.545392
0.0000,-0.093007,1.545392
0.0000,0.086624,1.545392
0.0000,-0.381152,1.545392
0.0000,0.083242,1.545392
0.0000,-0.060172,1.545392
0.0000,0.082291,1.545392
0.0000,-0.156424,1.545392
0.0000,-0.077609,1.545392
0.0000,0.002133,1.545392
0.0000,0.056049,1.545392
0.0000,-0.150144,1.545392
0.0000,-0.036691,1.545392
0.0000,-0.046195,1.545392
0.0000,-0.185842,1.545392
0.0000,0.250571,1.545392
0.0000,0.296772,1.545392
0.0000,-0.107990,1.545392
0.0000,0.048931,1.545392
0.0000,0.294801,1.545392
0.0000,0.007721,1.545392
0.0000,-0.420017,1.545392
0.0000,0.007768,1.545392
0.0000,-0.196639,1.545392
0.0000,0.250154,1.545392
0.0000,-0.096999,1.545392
0.0000,0.067914,1.545392
0.0000,-0.258842,1.545392
0.0000,0.079551,1.545392
